Ajout,1234567898,titretest,auteurtest,genre grenre ,5,23-05-2022|24:01:06
Supression,1234567898,titretest,auteurtest,genre grenre ,5,23-05-2022|24:01:32
Supression,012345678,titre3,auteur1,genre1 genre2 ,5,24-05-2022|17:40:10
Supression,987654321,titre2,auteur1,genre1 genre2 genre3 ,5,24-05-2022|17:42:25
Supression,987654321,titre2,auteur1,genre1 genre2 genre3 ,10,24-05-2022|22:31:22
Supression,987654321,titre2,auteur1,genre1 genre2 genre3 ,10,24-05-2022|24:40:33
Supression,11111111111,titre,auteur,genre1 genre2 genre3 ,2,24-05-2022|25:12:43
Supression,11111111111,titre,auteur,genre1 genre2 genre3 ,2,24-05-2022|25:16:36
Supression,123546789,titre,auteur,genre1 genre2 genre3 ,1,24-05-2022|25:19:29
Supression,123546789,titre,auteur,genre1 genre2 genre3 ,1,24-05-2022|25:30:42
Supression,987654321,titre2,auteur1,genre1 genre2 genre3 ,1,24-05-2022|25:31:29
Supression,987654321,titre2,auteur1,genre1 genre2 genre3 ,2,24-05-2022|25:34:11
Supression,123546789,titre,auteur,genre1 genre2 genre3 ,1,24-05-2022|25:37:01
Supression,987654321,titre2,auteur1,genre1 genre2 genre3 ,1,24-05-2022|25:38:17
Supression,123546789,titre,auteur,genre1 genre2 genre3 ,0,24-05-2022|25:43:06
Supression,123546789,titre,auteur,genre1 genre2 genre3 ,1,24-05-2022|25:50:27
Supression,123546789,titre,auteur,genre1 genre2 genre3 ,0,24-05-2022|25:51:02
Supression,123546789,titre,auteur,genre1 genre2 genre3 ,1,24-05-2022|25:52:11
Supression,123546789,titre,auteur,genre1 genre2 genre3 ,0,24-05-2022|25:52:39
Supression,123546789,titre,auteur,genre1 genre2 genre3 ,1,25-05-2022|09:30:25
Supression,987654321,titre2,auteur1,genre1 genre2 genre3 ,1,25-05-2022|09:53:54
Supression,123546789,titre,auteur,genre1 genre2 genre3 ,0,25-05-2022|09:55:11
Supression,123546789,titre,auteur,genre1 genre2 genre3 ,1,25-05-2022|09:55:29
Ajout,4567463168,letitre,l'auteur,genre1   ,5,25-05-2022|10:17:17
Ajout,123456789,titretest,auteurtest,qfe ,1,25-05-2022|10:19:44
Supression,2190335213,Trampoline,Mich̬le Garab̩dian,F o r ,1,25-05-2022|13:42:23
